Funder: Organisation Name,Managed by: Organisation Name,Grant Programme:Code,Grant Programme:Title,Description,FY value,Start Date,End Date,Allocation method,Duration (Months),COFOG: Sector type,Authority Act: Authority Act Name
Home Office,Home Office,G2-SCH-2021-12-10214,Keyham Community Policing Grant,"To enhance the policing presence in Keyham, Plymouth.  This is to provide community reassurance in the wake of the mass shooting that took place in August, which saw the murder of five people, the wounding of two others and the death of the perpetrator in a unprovoked and sustained attack on a small community.  Events were directly witnessed by up to 300 people.",403887.00,2021-04-01,2023-03-31,General Grant - Uncompeted,24,Public order and safety,Criminal Justice and Public Order Act 1994
"Department for Digital, Culture, Media & Sport",Visit Britain and Visit England,G2-SCH-2021-12-10215,ALB - VisitBritain - Destination Management Company and Inbound Tour Operator Amplification and Distribution Fund 2021/22 (Round 1),"The Destination Management Company and Inbound Tour Operator Amplification and Distribution Fund (the Fund) aims to provide financial assistance by way of a cash grant to destination management companies (DMCs) and inbound tour operators for sales and marketing activity in either France, Germany or The United States.  It is a pilot fund aimed at converting pent up demand for inbound travel into visits to Britain in 2022 in a heightened international competitive market place.

The key aims and objectives are, to:
(1) Push Britain travel itineraries with a focus on extending the holiday season and that taps into international source market demand.
(2) Ensure itineraries included in the 2022 trade and consumer programmes of international tour operators in the target overseas markets of France, Germany and The United States.
(3) Deliver marketing activity, involving third party media buy, to promote those Britain itineraries to trade and consumers in each of the three overseas markets stated above between February and June 2022.
(4) Evidence value add through marketing via its own channels and, where applicable, those of international tour operators.
(5) Provide post-campaign evaluation results showing the actual value (monetary GBP equivalent) and volume (number) of consumer bookings generated bringing incremental visitors to Britain in 2022 in addition to those the DMC or inbound tour operator had already secured.

The scheme will be fully evaluated with successful grant recipients providing data on the actual value (GBP equivalent) and volume (number) of bookings by 30 November 2022.",286070.57,2021-04-01,2023-03-31,General Grant - Competed,24,Economics affairs,Development of Tourism Act 1969
Home Office,Home Office,G2-SCH-2021-12-10224,International Centre for Asset Recovery (ICAR),"Funding the International Centre for Asset Recovery (ICAR), whose legal entity is the Basel Institute of Governance based in Switzerland. ICAR is a centre dedicated to strengthening and supporting the capacities of developing and transition countries to recover stolen public assets. They are a global network and team of asset recovery specialists comprised of former prosecutors, lawyers and financial investigators.",501781.00,2021-04-01,2024-03-31,General Grant - Uncompeted,36,General public services,International Development Act 2002
"Department for Levelling Up, Housing and Communities","Department for Levelling Up, Housing and Communities",G2-SCH-2021-12-10230,Expansion of Waking Watch Relief Fund,"An expansion of the Waking Watch Relief Fund, to install alarms in unsafe buildings with fire safety defects to replace costly waking watch measures",16238947.00,2021-04-01,2024-03-31,General Grant - Criteria Based,36,Housing and community amenities,Infrastructure Act 2015
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",G2-SCH-2021-12-10235,Darwin DPLUS R9 (ODA) FY21-22,"4 project grants totalling £983232 (ODA) over 2021/22, 2022/23, 2023/24 and 2024/25 aiding our UK Overseas Territories to protect their native biodiversity and manage environmental issues more effectively, in line with the objectives of Defra's 25-year Environment Plan",314929.00,2021-04-01,2025-03-31,General Grant - Competed,48,Foreign aid,Environmental Protection Act 1990
"Department for Digital, Culture, Media & Sport",Visit Britain and Visit England,G2-SCH-2021-12-10236,ALB  VisitEngland  England for Everyone Programme,"The purpose of this un-competed grant to the charity, Family Holiday Association (FHA) is to provide up to 4,200 subsidised short breaks/day trips in England for low income families and families from disadvantaged backgrounds, living in England and referred to the FHA by their referral network of social workers, teachers, health visitors and other charities between February Half-Term 2022 and 5 June 2022.",951875.00,2021-04-01,2024-03-31,General Grant - Uncompeted,36,"Recreation, culture and religion",Development of Tourism Act 1969
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",G2-SCH-2021-12-10238,Darwin Main R25 2019-2023,Main Darwin Initiative projects support projects tackling key threats to biodiversity in developing countries,330073.14,2019-04-01,2023-03-31,General Grant - Competed,48,Foreign aid,Environmental Protection Act 1990
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs",G2-SCH-2021-12-11012,ODA ICF: Blue Forests,"This project will meet both Defra and ICF objectives by combating mangrove loss. It will work with local communities, the private sector and government to establish improved livelihoods and green business opportunities based on sustainable mangrove forestry and fisheries management",1647619.00,2017-04-01,2025-03-31,General Grant - Uncompeted,96,Foreign aid,International Development Act 2002
Department for Education,Department for Education,G2-SCH-2021-12-11016,Skills Bootcamp - Wave 3,"The funding, which is from the National Skills Fund, must be used to achieve the overall policy objectives of the Skills Bootcamps programme. Skills Bootcamps are intensive, Level 3-5 or equivalent flexible training courses up to 16 weeks, with a guaranteed job interview (in the case of a new job), which equip adults with technical skills that enable them to access in-demand jobs, apprenticeships, new opportunities and an increased level of income over time (including for the self-employed).",31591427.98,2022-04-01,2025-03-31,General Grant - Uncompeted,36,Education,Education Act 2002
"Department for Environment, Food and Rural Affairs",Rural Payments Agency,G2-SCH-2022-01-11051,RPA FARMING INVESTMENT FUND,"The Farming Investment Fund comprises two different sub-schemes. The Farming Equipment and Technology fund will provide lower value grants towards a specified list of items proven to be effective in raising productivity. The Farming Transformation Fund will provide a more flexible model where applicants can seek higher-value investments into more significant infrastructure and equipment. 
The FIF sits alongside other schemes such as those providing business advice (Resilience Fund), R&D (Farming Innovation Programme), environmental land management and improved animal health and welfare. It will support farmers adapt and change to deliver on Defras vision for the future of the agriculture sector. 
 It will aim to increase farmers confidence to invest in novel technologies and practices, during a time of significant sectoral and macroeconomic uncertainty.  
 It will support capital investment, to maximise returns through employing the latest technologies and practices.
 It will support the sector in reducing GHG emissions contributing to Net Zero goals. In addition, it will support improvement in water and air quality. 
 It will support investing and improving animal health and welfare by farmers.
The Farming Investment Fund (FIF) is an evolution of the Countryside Productivity Scheme, following the UKs exit from the EU. The development of the fund has drawn on the experience and evaluation of this predecessor scheme and we have made changes to the design to ensure that it will deliver more effectively an improvement in productivity and the environment in the farming and forestry sectors.",34515000.00,2021-04-01,2025-03-31,General Grant - Competed,48,Environmental protection,The Agriculture Act 2020 and the Agriculture (Financial Assistance)
Home Office,Home Office,G2-SCH-2022-01-11061,Western Balkans SOC Community Coordinator,"This project is designed to deliver this outcome in line with the 4P approach. This will be the first large-scale international SOC Prevent intervention.  The project aims to divert young people in target communities who are at risk, or already involved in SOC, away from SOC to an alternative pathway.  The aim of the project is to reduce to reduce the threats we face from serious and organised crime group in Albania by addressing the risk factors that increases the likelihood of people joining SOC. This will be achieved through activities that will support: 
1. Young People at risk in target communities express an intention to follow an alternative pathway (Prevent Intervention).
2. Core agencies work in partnership to tackle the harm and impact of SOC locally.  
3. Local officials help divert young people away from SOC.
4. Community police officers deliver more effective neighbourhood policing built on effective engagement and consultation with communities.",650000.00,2021-04-01,2024-03-31,General Grant - Uncompeted,36,General public services,Criminal Justice and Public Order Act 1994
Home Office,Home Office,G2-SCH-2022-01-11062,Internet Watch Foundation,"The Internet Watch Foundation (IWF) vision is to create an internet free from child sexual abuse that is a safe place for children and adults to use around the world. IWF detect, disrupt, remove, and prevent online child sexual abuse material using our expertise and resources as effectively as possible.",384116.00,2021-04-01,2024-03-31,General Grant - Uncompeted,36,Public order and safety,"Domestic Violence, Crime and Victims Act 2004"
Home Office,Home Office,G2-SCH-2022-01-11067,National Online Hate Crime Hub,"The hubs main functions are to provide expert case management and victim support in relation to hate crime online. The hub seeks to ensure online cases are effectively investigated and to drive up prosecutions for online hate crimes.

Specially trained officers liaise with the victim/individual reporting and use their knowledge of online hate crime to collect relevant evidence that will be needed by the CPS to bring a prosecution. They also work with the content providers to remove content where appropriate.

Wherever possible, evidence and any preliminary investigative work to identify the perpetrator is then be allocated to the police force in the victims local area to take forward the investigation.  The hub provides local forces with guidance or specialist knowledge.  

This provides victims with a better service, greater central understanding of the issue and makes it more likely that prosecutions can be brought.",300000.00,2021-04-01,2024-03-31,General Grant - Uncompeted,36,General public services,Police Act 1996
"Department for Digital, Culture, Media & Sport",Visit Britain and Visit England,G2-SCH-2022-01-11070,ALB - British Tourist Authority t/a VisitEngland - Destination Management Organisations' Recovery Marketing Fund (No. 2) 2021/23,"The DMOs Recovery Marketing Fund will support recovery of the tourism sector by enabling DMOs in England to run local marketing activations in Spring 2022 aimed at amplifying the reach of the VisitEngland domestic campaign, Escape the Everyday and generate bookings of product experiences via their own DMO websites.

DMOs will need to work with local tourism businesses to create Escape the Everyday guides and content which must include bookable product experiences available for the consumer to purchase on their own destination websites. This will support DMO sustainability and recovery during the pandemic, creating opportunities to directly support their businesses and provide increased choice and information for the consumer in planning and booking domestic breaks and experiences.

The Fund will operate from 14 March to 30 June 2022 as a de minimis grant scheme with a total budget allocation of up to £1,000,000.  DMOs in England that meet the eligibility criteria can apply for grant awards of between £75,000 and £100,000.  A limited number of awards will be made and competition for funds is expected to be high.",727913.30,2021-04-01,2023-03-31,General Grant - Competed,24,Economics affairs,Development of Tourism Act 1969
"Department for Digital, Culture, Media & Sport","Department for Digital, Culture, Media & Sport",G2-SCH-2022-01-11072,Burrell Collection Grant,This funding recognises its important cultural and economic contribution to Scotland and the UK. and will enable the museum - which has undergone a major transformation and is due to reopen in March 2022 - to bring its collections to life and attract new audiences and is intended to consolidate previous HMG investment.,1000000.00,2022-04-01,2025-03-31,General Grant - Uncompeted,36,"Recreation, culture and religion",UK Internal Markets Act 2020
